ticker,company,date,quarter,year,document_sentiment,document_sentiment_score,document_confidence,document_uncertainty_score,word_count
GOOGL,Alphabet Inc.,2023-07-25,Q2,2023,positive,0.21350860595703125,0.54052734375,0.0,581
GOOGL,Alphabet Inc.,2023-10-24,Q3,2023,positive,0.1776580810546875,0.4224853515625,0.0,504
GOOGL,Alphabet Inc.,2024-01-30,Q4,2023,negative,-0.1692047119140625,0.4080352783203125,0.0,507
GOOGL,Alphabet Inc.,2024-04-25,Q1,2024,neutral,0.3173675537109375,0.47104644775390625,0.0,517
GOOGL,Alphabet Inc.,2024-07-23,Q2,2024,positive,0.109588623046875,0.5072021484375,0.0,501
GOOGL,Alphabet Inc.,2024-10-29,Q3,2024,negative,-0.1187896728515625,0.5029296875,0.0,682
GOOGL,Alphabet Inc.,2025-02-04,Q4,2024,positive,0.22800699869791663,0.5595804850260416,0.01764705882352941,680
GOOGL,Alphabet Inc.,2025-04-24,Q1,2025,negative,-0.17093658447265625,0.48513031005859375,0.0,588
GOOGL,Alphabet Inc.,2025-07-23,Q2,2025,negative,-0.17993927001953125,0.48987579345703125,0.009868421052631578,608
GOOGL,Alphabet Inc.,2025-10-29,Q3,2025,negative,-0.06662750244140625,0.48752593994140625,0.0,695
GOOGL,Alphabet Inc.,2026-02-04,Q4,2025,negative,-0.11417388916015625,0.48673248291015625,0.0,700
GOOGL,Alphabet Inc.,2026-04-29,Q1,2026,negative,-0.08504486083984375,0.49001312255859375,0.0,656
GOOGL,Alphabet Inc.,2026-07-22,Q2,2026,negative,-0.0888214111328125,0.4870758056640625,0.0,639
